ccd_code,ccd_name,ccd_synonyms,common_name_guess,ccd_type,release_status,source,error,canonical_code,identical_group_codes,is_identical_alias,alpha_code,beta_code,anomer_group_id,group_member_codes,listed_in_saccharides,anomer_availability,canonical_anomer,sugar_family,sugar_sort_key
KBA,"2-(1H-1,2,3-triazol-1-yl)ethyl 6-deoxy-alpha-L-galactopyranoside","(2~{S},3~{S},4~{R},5~{S},6~{R})-2-methyl-6-[2-(1,2,3-triazol-1-yl)ethoxy]oxane-3,4,5-triol; 2-(1H-1,2,3-triazol-1-yl)ethyl 6-deoxy-alpha-L-galactoside; 2-(1H-1,2,3-triazol-1-yl)ethyl 6-deoxy-L-galactoside; 2-(1H-1,2,3-triazol-1-yl)ethyl 6-deoxy-galactoside",,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,KBA,KBA,FALSE,KBA,,,KBA,TRUE,alpha_only,alpha,galactopyranoside,"2-(1h-1,2,3-triazol-1-yl)ethyl 6-deoxy-alpha-l-galactopyranoside"
1CF,2-hydroxyethyl 6-deoxy-beta-L-galactopyranoside,2-hydroxyethyl 6-deoxy-beta-L-galactoside; 2-hydroxyethyl 6-deoxy-L-galactoside; 2-hydroxyethyl 6-deoxy-galactoside,hydroxyethyl galactopyranoside,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,1CF,1CF,FALSE,,1CF,,1CF,TRUE,beta_only,beta,galactopyranoside,2-hydroxyethyl 6-deoxy-beta-l-galactopyranoside
145,2-nitrophenyl beta-D-galactopyranoside,1-O-[O-NITROPHENYL]-BETA-D-GALACTOPYRANOSE; 2-nitrophenyl beta-D-galactoside; 2-nitrophenyl D-galactoside; 2-nitrophenyl galactoside,galactose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,145,145,FALSE,,145,,145,TRUE,beta_only,beta,galactopyranoside,2-nitrophenyl beta-d-galactopyranoside
TGA,2-sulfanylethyl beta-D-galactopyranoside,2-sulfanylethyl beta-D-galactoside; 2-sulfanylethyl D-galactoside; 2-sulfanylethyl galactoside,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,TGA,TGA,FALSE,,TGA,,TGA,TRUE,beta_only,beta,galactopyranoside,2-sulfanylethyl beta-d-galactopyranoside
GAA,3-nitrophenyl alpha-D-galactopyranoside,METANITROPHENYL-ALPHA-D-GALACTOSIDE; 3-nitrophenyl alpha-D-galactoside; 3-nitrophenyl D-galactoside; 3-nitrophenyl galactoside,nitrophenyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GAA,GAA,FALSE,GAA,,,GAA,TRUE,alpha_only,alpha,galactopyranoside,3-nitrophenyl alpha-d-galactopyranoside
GAT,4-aminophenyl alpha-D-galactopyranoside,4'-AMINOPHENYL-ALPHA-D-GALACTOPYRANOSIDE; P-AMINOPHENYL-ALPHA-D-GALACTOPYRANOSIDE; 4-aminophenyl alpha-D-galactoside; 4-aminophenyl D-galactoside; 4-aminophenyl galactoside,phenyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GAT,GAT,FALSE,GAT,,,GAT,TRUE,alpha_only,alpha,galactopyranoside,4-aminophenyl alpha-d-galactopyranoside
JFZ,4-nitrophenyl 6-deoxy-alpha-L-galactopyranoside,4-nitrophenyl-alpha-L-fucose; 4-nitrophenyl 6-deoxy-alpha-L-galactoside; 4-nitrophenyl 6-deoxy-L-galactoside; 4-nitrophenyl 6-deoxy-galactoside,fucose,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,JFZ,JFZ,FALSE,JFZ,,,JFZ,TRUE,alpha_only,alpha,galactopyranoside,4-nitrophenyl 6-deoxy-alpha-l-galactopyranoside
9PG,4-nitrophenyl alpha-D-galactopyranoside,4-nitrophenyl alpha-D-galactoside; 4-nitrophenyl D-galactoside; 4-nitrophenyl galactoside,nitrophenyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,9PG,9PG,FALSE,9PG,,,9PG,TRUE,alpha_only,alpha,galactopyranoside,4-nitrophenyl alpha-d-galactopyranoside
147,4-nitrophenyl beta-D-galactopyranoside,1-O-[P-NITROPHENYL]-BETA-D-GALACTOPYRANOSE; 4-nitrophenyl beta-D-galactoside; 4-nitrophenyl D-galactoside; 4-nitrophenyl galactoside,galactose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,147,147,FALSE,,147,,147,TRUE,beta_only,beta,galactopyranoside,4-nitrophenyl beta-d-galactopyranoside
FNG,5-aminocarbonyl-3-nitrophenyl alpha-D-galactopyranoside,5-AMINOCARBONYL-3-NITROPHENYL-ALPHA-D-GALACTOPYRANOSE; 5-aminocarbonyl-3-nitrophenyl alpha-D-galactoside; 5-aminocarbonyl-3-nitrophenyl D-galactoside; 5-aminocarbonyl-3-nitrophenyl galactoside,galactose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,FNG,FNG,FALSE,FNG,,,FNG,TRUE,alpha_only,alpha,galactopyranoside,5-aminocarbonyl-3-nitrophenyl alpha-d-galactopyranoside
LZ0,"[1-(2-oxoethyl)-1H-1,2,3-triazol-5-yl]methyl 6-deoxy-alpha-L-galactopyranoside","[1-(2-oxoethyl)-1H-1,2,3-triazol-5-yl]methyl 6-deoxy-alpha-L-galactoside; [1-(2-oxoethyl)-1H-1,2,3-triazol-5-yl]methyl 6-deoxy-L-galactoside; [1-(2-oxoethyl)-1H-1,2,3-triazol-5-yl]methyl 6-deoxy-galactoside",,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,LZ0,LZ0,FALSE,LZ0,,,LZ0,TRUE,alpha_only,alpha,galactopyranoside,"[1-(2-oxoethyl)-1h-1,2,3-triazol-5-yl]methyl 6-deoxy-alpha-l-galactopyranoside"
EGA,ethyl beta-D-galactopyranoside,ethyl beta-D-galactoside; ethyl D-galactoside; ethyl galactoside,ethyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,EGA,EGA,FALSE,,EGA,,EGA,TRUE,beta_only,beta,galactopyranoside,ethyl beta-d-galactopyranoside
AIG,hexyl 3-amino-3-deoxy-beta-D-galactopyranoside,"4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL; hexyl 3-amino-3-deoxy-beta-D-galactoside; hexyl 3-amino-3-deoxy-D-galactoside; hexyl 3-amino-3-deoxy-galactoside",hexyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,AIG,AIG,FALSE,,AIG,,AIG,TRUE,beta_only,beta,galactopyranoside,hexyl 3-amino-3-deoxy-beta-d-galactopyranoside
DLG,hexyl 3-deoxy-beta-D-galactopyranoside,"HEXYL 3-DEOXY-BETA-D-GALACTOPYRANOSE; 2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL; hexyl 3-deoxy-beta-D-galactoside; hexyl 3-deoxy-D-galactoside; hexyl 3-deoxy-galactoside",galactose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,DLG,DLG,FALSE,,DLG,,DLG,TRUE,beta_only,beta,galactopyranoside,hexyl 3-deoxy-beta-d-galactopyranoside
BHG,hexyl beta-D-galactopyranoside,"2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL; hexyl beta-D-galactoside; hexyl D-galactoside; hexyl galactoside",hexyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,BHG,BHG,FALSE,,BHG,,BHG,TRUE,beta_only,beta,galactopyranoside,hexyl beta-d-galactopyranoside
MGC,methyl 2-acetamido-2-deoxy-alpha-D-galactopyranoside,ALPHA-METHYL-N-ACETYL-D-GALACTOSAMINE; methyl 2-acetamido-2-deoxy-alpha-D-galactoside; methyl 2-acetamido-2-deoxy-D-galactoside; methyl 2-acetamido-2-deoxy-galactoside,galactosamine,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,MGC,MGC,FALSE,MGC,,,MGC,TRUE,alpha_only,alpha,galactopyranoside,methyl 2-acetamido-2-deoxy-alpha-d-galactopyranoside
9QG,methyl 3-O-[(1R)-1-carboxyethyl]-beta-D-galactopyranoside,methyl 3-O-[(1R)-1-carboxyethyl]-beta-D-galactoside; methyl 3-O-[(1R)-1-carboxyethyl]-D-galactoside; methyl 3-O-[(1R)-1-carboxyethyl]-galactoside,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,9QG,9QG,FALSE,,9QG,,9QG,TRUE,beta_only,beta,galactopyranoside,methyl 3-o-[(1r)-1-carboxyethyl]-beta-d-galactopyranoside
FSW,methyl 6-deoxy-2-Se-methyl-2-seleno-alpha-L-galactopyranoside,"(2S,3S,4R,5S,6R)-6-methoxy-2-methyl-5-methylselanyl-oxane-3,4-diol; methyl 6-deoxy-2-Se-methyl-2-seleno-alpha-L-galactoside; methyl 6-deoxy-2-Se-methyl-2-seleno-L-galactoside; methyl 6-deoxy-2-Se-methyl-2-seleno-galactoside",,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,FSW,FSW,FALSE,FSW,,,FSW,TRUE,alpha_only,alpha,galactopyranoside,methyl 6-deoxy-2-se-methyl-2-seleno-alpha-l-galactopyranoside
WIA,methyl 6-thio-beta-D-galactopyranoside,methyl 6-thio-beta-D-galactoside; methyl 6-thio-D-galactoside; methyl 6-thio-galactoside,methyl thio galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,WIA,WIA,FALSE,,WIA,,WIA,TRUE,beta_only,beta,galactopyranoside,methyl 6-thio-beta-d-galactopyranoside
AMG,methyl alpha-D-galactopyranoside,ALPHA-METHYL-D-GALACTOSIDE; methyl alpha-D-galactoside; methyl D-galactoside; methyl galactoside,methyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,AMG,AMG,FALSE,AMG,,,AMG,TRUE,alpha_only,alpha,galactopyranoside,methyl alpha-d-galactopyranoside
MBG,methyl beta-D-galactopyranoside,METHYL-BETA-GALACTOSE; methyl beta-D-galactoside; methyl D-galactoside; methyl galactoside,galactose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,MBG,MBG,FALSE,,MBG,,MBG,TRUE,beta_only,beta,galactopyranoside,methyl beta-d-galactopyranoside
AOG,octyl 3-amino-3-deoxy-beta-D-galactopyranoside,"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL; octyl 3-amino-3-deoxy-beta-D-galactoside; octyl 3-amino-3-deoxy-D-galactoside; octyl 3-amino-3-deoxy-galactoside",octyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,AOG,AOG,FALSE,,AOG,,AOG,TRUE,beta_only,beta,galactopyranoside,octyl 3-amino-3-deoxy-beta-d-galactopyranoside
HSH,octyl beta-D-galactopyranoside,octyl beta-D-galactoside; octyl D-galactoside; octyl galactoside,octyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,HSH,HSH,FALSE,,HSH,,HSH,TRUE,beta_only,beta,galactopyranoside,octyl beta-d-galactopyranoside
56N,phenyl beta-D-galactopyranoside,phenyl beta-D-galactoside; phenyl D-galactoside; phenyl galactoside,phenyl galactopyranoside,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,56N,56N,FALSE,,56N,,56N,TRUE,beta_only,beta,galactopyranoside,phenyl beta-d-galactopyranoside
KG1,propadienyl 6-deoxy-alpha-L-galactopyranoside,propargyl-fucoside; propadienyl 6-deoxy-alpha-L-galactoside; propadienyl 6-deoxy-L-galactoside; propadienyl 6-deoxy-galactoside,propadienyl galactopyranoside,L-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,KG1,KG1,FALSE,KG1,,,KG1,TRUE,alpha_only,alpha,galactopyranoside,propadienyl 6-deoxy-alpha-l-galactopyranoside
DJE,2-acetamido-2-deoxy-alpha-D-galactopyranuronic acid,alpha-D-2-N-acetylgalactosaminuronic acid; 2-acetamido-2-deoxy-alpha-D-galacturonic acid; 2-acetamido-2-deoxy-D-galacturonic acid; 2-acetamido-2-deoxy-galacturonic acid,galactopyranuronic acid,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,DJE,DJE,FALSE,DJE,,,DJE,TRUE,alpha_only,alpha,galactopyranuronic acid,2-acetamido-2-deoxy-alpha-d-galactopyranuronic acid
U97,2-O-sulfo-beta-L-galactopyranuronic acid,,,"L-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,U97,U97,FALSE,,U97,,U97,TRUE,beta_only,beta,galactopyranuronic acid,2-o-sulfo-beta-l-galactopyranuronic acid
DJB,3-O-acetyl-2-acetamido-2-deoxy-alpha-D-galactopyranuronic acid,alpha-D-2-N-acetyl-3-O-acetylgalactosaminuronic acid; 3-O-acetyl-2-acetamido-2-deoxy-alpha-D-galacturonic acid; 3-O-acetyl-2-acetamido-2-deoxy-D-galacturonic acid; 3-O-acetyl-2-acetamido-2-deoxy-galacturonic acid,,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,DJB,DJB,FALSE,DJB,,,DJB,TRUE,alpha_only,alpha,galactopyranuronic acid,3-o-acetyl-2-acetamido-2-deoxy-alpha-d-galactopyranuronic acid
ADA,alpha-D-galactopyranuronic acid,alpha-D-galacturonic acid; D-galacturonic acid; galacturonic acid; ALPHA D-GALACTURONIC ACID,galactopyranuronic acid,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ADA,ADA,FALSE,ADA,GTR,anomer_group_10,"ADA, GTR",FALSE,both,alpha,galactopyranuronic acid,galactopyranuronic acid
GTR,beta-D-galactopyranuronic acid,beta-D-galacturonic acid; D-galacturonic acid; galacturonic acid,galactopyranuronic acid,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GTR,GTR,FALSE,ADA,GTR,anomer_group_10,"ADA, GTR",FALSE,both,beta,galactopyranuronic acid,galactopyranuronic acid
CEZ,4-O-beta-D-glucopyranosyl-D-gluconic acid,cellobionic acid; 4-O-beta-D-glucosyl-D-gluconic acid; 4-O-D-glucosyl-D-gluconic acid; 4-O-glucosyl-D-gluconic acid,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,CEZ,CEZ,FALSE,,CEZ,,CEZ,TRUE,beta_only,beta,gluconic acid,4-o-beta-d-glucopyranosyl-d-gluconic acid
4U2,"(6R)-5-(acetylamino)-3,5-dideoxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]-beta-L-threo-hex-2-ulopyranonosyl-(2->3)-beta-D-gal actopyranosyl-(1->4)-2-(acetylamino)-2-deoxy-beta-D-glucopyranose",,glucose,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,4U2,4U2,FALSE,,4U2,,4U2,TRUE,beta_only,beta,glucopyranose,"(6r)-5-(acetylamino)-3,5-dideoxy-6-[(1r,2r)-1,2,3-trihydroxypropyl]-beta-l-threo-hex-2-ulopyranonosyl-(2->3)-beta-d-gal actopyranosyl-(1->4)-2-(acetylamino)-2-deoxy-beta-d-glucopyranose"
4U1,"(6R)-5-(acetylamino)-3,5-dideoxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]-beta-L-threo-hex-2-ulopyranonosyl-(2->6)-beta-D-gal actopyranosyl-(1->4)-2-(acetylamino)-2-deoxy-beta-D-glucopyranose",,glucose,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,4U1,4U1,FALSE,,4U1,,4U1,TRUE,beta_only,beta,glucopyranose,"(6r)-5-(acetylamino)-3,5-dideoxy-6-[(1r,2r)-1,2,3-trihydroxypropyl]-beta-l-threo-hex-2-ulopyranonosyl-(2->6)-beta-d-gal actopyranosyl-(1->4)-2-(acetylamino)-2-deoxy-beta-d-glucopyranose"
4U0,"(6R)-5-(acetylamino)-3,5-dideoxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]-beta-L-threo-hex-2-ulopyranonosyl-(2->6)-beta-D-gal actopyranosyl-(1->4)-beta-D-glucopyranose",,glucose,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,4U0,4U0,FALSE,,4U0,,4U0,TRUE,beta_only,beta,glucopyranose,"(6r)-5-(acetylamino)-3,5-dideoxy-6-[(1r,2r)-1,2,3-trihydroxypropyl]-beta-l-threo-hex-2-ulopyranonosyl-(2->6)-beta-d-gal actopyranosyl-(1->4)-beta-d-glucopyranose"
G16,"1,6-di-O-phosphono-alpha-D-glucopyranose","ALPHA-D-GLUCOSE 1,6-BISPHOSPHATE; 1,6-di-O-phosphono-alpha-D-glucose; 1,6-di-O-phosphono-D-glucose; 1,6-di-O-phosphono-glucose",glucose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,G16,G16,FALSE,G16,,,G16,TRUE,alpha_only,alpha,glucopyranose,"1,6-di-o-phosphono-alpha-d-glucopyranose"
B16,"1,6-di-O-phosphono-beta-D-glucopyranose","1,6-di-O-phosphono-beta-D-glucose; 1,6-di-O-phosphono-D-glucose; 1,6-di-O-phosphono-glucose",glucose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,B16,B16,FALSE,,B16,,B16,TRUE,beta_only,beta,glucopyranose,"1,6-di-o-phosphono-beta-d-glucopyranose"
G1P,1-O-phosphono-alpha-D-glucopyranose,ALPHA-D-GLUCOSE-1-PHOSPHATE; 1-O-phosphono-alpha-D-glucose; 1-O-phosphono-D-glucose; 1-O-phosphono-glucose,glucose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,G1P,G1P,FALSE,G1P,,,G1P,TRUE,alpha_only,alpha,glucopyranose,1-o-phosphono-alpha-d-glucopyranose
XGP,1-O-phosphono-beta-D-glucopyranose,1-O-phosphono-beta-D-glucose; 1-O-phosphono-D-glucose; 1-O-phosphono-glucose,glucose,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,XGP,XGP,FALSE,,XGP,,XGP,TRUE,beta_only,beta,glucopyranose,1-o-phosphono-beta-d-glucopyranose
Z9E,1-thio-alpha-D-glucopyranose,,glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,7K3,"7K3, Z9E",TRUE,,,,7K3,FALSE,unknown,,glucopyranose,1-thio-alpha-d-glucopyranose
GU4,"2,3,4,6-tetra-O-sulfonato-alpha-D-glucopyranose","2,3,4,6-tetra-O-sulfonato-alpha-D-glucose; 2,3,4,6-tetra-O-sulfonato-D-glucose; 2,3,4,6-tetra-O-sulfonato-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GU4,GU4,FALSE,GU4,,,GU4,TRUE,alpha_only,alpha,glucopyranose,"2,3,4,6-tetra-o-sulfonato-alpha-d-glucopyranose"
SG5,"2,3,4-tri-O-propanoyl-6-O-sulfamoyl-alpha-D-glucopyranose","2,3,4-tri-O-propanoyl-6-O-sulfamoyl-alpha-D-glucose; 2,3,4-tri-O-propanoyl-6-O-sulfamoyl-D-glucose; 2,3,4-tri-O-propanoyl-6-O-sulfamoyl-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,SG5,SG5,FALSE,SG5,MG5,anomer_group_34,"MG5, SG5",FALSE,both,alpha,glucopyranose,"2,3,4-tri-o-propanoyl-6-o-sulfamoyl-alpha-d-glucopyranose"
MG5,"2,3,4-tri-O-propanoyl-6-O-sulfamoyl-beta-D-glucopyranose","2,3,4-tri-O-propanoyl-6-O-sulfamoyl-beta-D-glucose; 2,3,4-tri-O-propanoyl-6-O-sulfamoyl-D-glucose; 2,3,4-tri-O-propanoyl-6-O-sulfamoyl-glucose",glucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,MG5,MG5,FALSE,SG5,MG5,anomer_group_34,"MG5, SG5",FALSE,both,beta,glucopyranose,"2,3,4-tri-o-propanoyl-6-o-sulfamoyl-beta-d-glucopyranose"
GU9,"2,3,6-tri-O-methyl-alpha-D-glucopyranose","2,3,6-tri-O-methyl-alpha-D-glucose; 2,3,6-tri-O-methyl-D-glucose; 2,3,6-tri-O-methyl-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GU9,GU9,FALSE,,GU9,,GU9,TRUE,beta_only,beta,glucopyranose,"2,3,6-tri-o-methyl-alpha-d-glucopyranose"
GU8,"2,3,6-tri-O-methyl-beta-D-glucopyranose","2,3,6-tri-O-methyl-beta-D-glucose; 2,3,6-tri-O-methyl-D-glucose; 2,3,6-tri-O-methyl-glucose",glucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GU8,GU8,FALSE,,GU8,,GU8,TRUE,beta_only,beta,glucopyranose,"2,3,6-tri-o-methyl-beta-d-glucopyranose"
GU6,"2,3,6-tri-O-sulfo-alpha-D-glucopyranose","2,3,6-TRI-O-SULFONATO-ALPHA-D-GLUCOPYRANOSE; 2,3,6-tri-O-sulfo-alpha-D-glucose; 2,3,6-tri-O-sulfo-D-glucose; 2,3,6-tri-O-sulfo-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GU6,GU6,FALSE,GU6,,,GU6,TRUE,alpha_only,alpha,glucopyranose,"2,3,6-tri-o-sulfo-alpha-d-glucopyranose"
GU0,"2,3,6-tri-O-sulfonato-beta-D-glucopyranose","2,3,6-tri-O-sulfonato-beta-D-glucose; 2,3,6-tri-O-sulfonato-D-glucose; 2,3,6-tri-O-sulfonato-glucose",glucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GU0,GU0,FALSE,,GU0,,GU0,TRUE,beta_only,beta,glucopyranose,"2,3,6-tri-o-sulfonato-beta-d-glucopyranose"
U9G,"2,3-di-O-methyl-6-O-sulfo-alpha-D-glucopyranose",,glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,U9G,U9G,FALSE,U9G,,,U9G,TRUE,alpha_only,alpha,glucopyranose,"2,3-di-o-methyl-6-o-sulfo-alpha-d-glucopyranose"
GU5,"2,3-di-O-methyl-6-O-sulfonato-alpha-D-glucopyranose","2,3-di-O-methyl-6-O-sulfonato-alpha-D-glucose; 2,3-di-O-methyl-6-O-sulfonato-D-glucose; 2,3-di-O-methyl-6-O-sulfonato-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GU5,GU5,FALSE,,GU5,,GU5,TRUE,beta_only,beta,glucopyranose,"2,3-di-o-methyl-6-o-sulfonato-alpha-d-glucopyranose"
ZB0,"2,3-di-O-methyl-alpha-D-glucopyranose",,glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ZB0,ZB0,FALSE,ZB0,,,ZB0,TRUE,alpha_only,alpha,glucopyranose,"2,3-di-o-methyl-alpha-d-glucopyranose"
PDX,"2,3-di-O-sulfo-alpha-D-glucopyranose","2,3-di-O-sulfo-alpha-D-glucose; 2,3-di-O-sulfo-D-glucose; 2,3-di-O-sulfo-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,PDX,PDX,FALSE,PDX,,,PDX,TRUE,alpha_only,alpha,glucopyranose,"2,3-di-o-sulfo-alpha-d-glucopyranose"
TWD,"2,3-di-O-sulfo-alpha-L-glucopyranose",,glucose,"L-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,TWD,TWD,FALSE,TWD,,,TWD,TRUE,alpha_only,alpha,glucopyranose,"2,3-di-o-sulfo-alpha-l-glucopyranose"
B6D,"2,4-bisacetamido-2,4,6-trideoxy-beta-D-glucopyranose","2,4-bis(acetylamino)-2,4,6-trideoxy-beta-D-glucopyranose; 2,4-diacetamido-2,4,6-trideoxy-beta-D-glucopyranose; bacillosamine; 2,4-bisacetamido-2,4,6-trideoxy-beta-D-glucose; 2,4-bisacetamido-2,4,6-trideoxy-D-glucose; 2,4-bisacetamido-2,4,6-trideoxy-glucose",glucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,B6D,B6D,FALSE,,B6D,,B6D,TRUE,beta_only,beta,glucopyranose,"2,4-bisacetamido-2,4,6-trideoxy-beta-d-glucopyranose"
DT6,"2,4-bisacetamido-2,4-dideoxy-beta-D-glucopyranose","2,4-bis(acetylamino)-2,4-dideoxy-beta-D-glucopyranose; 2,4-bisacetamido-2,4-dideoxy-beta-D-glucose; 2,4-bisacetamido-2,4-dideoxy-D-glucose; 2,4-bisacetamido-2,4-dideoxy-glucose",glucose,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,DT6,DT6,FALSE,,DT6,,DT6,TRUE,beta_only,beta,glucopyranose,"2,4-bisacetamido-2,4-dideoxy-beta-d-glucopyranose"
5LS,"2,4-di-O-sulfo-alpha-D-glucopyranose","[(2~{R},3~{S},4~{S},5~{R},6~{S})-2-(hydroxymethyl)-4,6-bis(oxidanyl)-5-sulfooxy-oxan-3-yl] hydrogen sulfate; 2,4-di-O-sulfo-alpha-D-glucose; 2,4-di-O-sulfo-D-glucose; 2,4-di-O-sulfo-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,5LS,5LS,FALSE,5LS,,,5LS,TRUE,alpha_only,alpha,glucopyranose,"2,4-di-o-sulfo-alpha-d-glucopyranose"
ZB3,"2,6-di-O-methyl-alpha-D-glucopyranose",,glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,ZB3,ZB3,FALSE,ZB3,,,ZB3,TRUE,alpha_only,alpha,glucopyranose,"2,6-di-o-methyl-alpha-d-glucopyranose"
BDG,"2,6-diamino-2,6-dideoxy-alpha-D-glucopyranose","O-2,6-DIAMINO-2,6-DIDEOXY-ALPHA-D-GLUCOPYRANOSE; 2,6-diamino-2,6-dideoxy-alpha-D-glucose; 2,6-diamino-2,6-dideoxy-D-glucose; 2,6-diamino-2,6-dideoxy-glucose",glucose,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,BDG,BDG,FALSE,BDG,,,BDG,TRUE,alpha_only,alpha,glucopyranose,"2,6-diamino-2,6-dideoxy-alpha-d-glucopyranose"
